1,Apa kahAz rahawe hEM,#wuma kahAz meM rahawA hE,#wuma kahAz meM rahawA hE
2,aXyApaka aBI Aye hEM,aXyApaka aBI AyA hE,aXyApaka aBI AyA hE
3,baccA agaswa meM Pala KAwA hE,baccA agaswa meM Pala KAwA hE,baccA agaswa meM Pala KAwA hE
4,bacce janavarI meM Pala KAwe hEM,bacce janavarI ko Pala KAwe hEM,bacce janavarI ko Pala KAwe hEM
5,baccA kya kAwA hE,baccA kyA KAwA hE,baccA kyA KAwA hE
6,bacce maMgalavAra ko Pala KAwe hEM,bacce maMgalavAra meM Pala KAwe hEM,bacce maMgalavAra meM Pala KAwe hEM
7,bacce Pala KAwe hEM,bacce Pala KAwe hEM,bacce Pala KAwe hEM
8,bacce somavAra ko Pala KAwe hEM,bacce somavAra meM Pala KAwe hEM,bacce somavAra meM Pala KAwe hEM
9,bacce Pala KAwe hEM,bacce Pala KAwe hEM,bacce Pala KAwe hEM
10,betoM ne Kewa meM bIja bo xiyA,bete Kewa meM bIja bo,bete Kewa meM bIja bo
11,gAyeM GAsa KawIM hEM,gAyeM GAsa KAwIM hEM,gAyeM GAsa KAwIM hEM
12,jAnavara saBA meM Aye,jAnavara ne saBA AI,jAnavara ne saBA AI
13,John kA betA vixyAlaya meM paDawA hE,John ko betA vixyAlaya meM paDawA hE,John ko betA vixyAlaya meM paDawA hE
14,kyA Apa jA rahe hEM,#wuma jA rahA hE,#wuma jA rahA hE
15,kyA rAma jA rahA hE,rAma jA rahA hE,rAma jA rahA hE
16,ladakA bagIce meM nayI kiwAba paDa rahA hE,ladakA bagIce meM nayI kiwAba paDa rahA hE,ladakA bagIce meM nayI kiwAba paDa rahA hE
17,ladakA calacciwra xeKa rahA hE,ladakA #calacciwra xeKa rahA hE,ladakA #calacciwra xeKa rahA hE
18,ladakA kiwAba paDa rahA hE,ladakA kiwAba paDa rahA hE,ladakA kiwAba paDa rahA hE
19,ladakA kiwAbeM paDa rahA hE,ladakA kiwAbeM paDa rahA hE,ladakA kiwAbeM paDa rahA hE
20,ladakA nayI kiwAba paDa rahA hE,ladakA nayI kiwAba paDa rahA hE,ladakA nayI kiwAba paDa rahA hE
21,ladakA Sahara se AyA hE,ladakA Sahara se AyA hE,ladakA Sahara se AyA hE
22,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE,ladakA vixyAlaya meM bagIce meM kiwAba paDa rahA hE
23,ladakA vixyAlaya meM paDawA hE,ladakA vixyAlaya meM paDawA hE,ladakA vixyAlaya meM paDawA hE
25,ladake ne KAnA nahIM KAyA,ladakA ne KAnA nahIM KAyA,ladakA ne KAnA nahIM KAyA
26,ladake ne nayI kiwAba paDI,ladakA ne nayI kiwAba paDI,ladakA ne nayI kiwAba paDI
27,mEca kisne jIwA,mEca #kOna jIwA,mEca #kOna jIwA
28,mEM Aja AyA,mEM Aja AyA,mEM Aja AyA
29,mEM A rahA hUz,mEM A rahA hUz,mEM A rahA hUz
30,mEM Gara A rahA hUz,mEM Gara A rahA hUz,mEM Gara A rahA hUz
31,mEM john ke lie Sahara se AyA,mEM John ke lie Sahara se AyA,mEM John ke lie Sahara se AyA
32,mEM kala AUzgA,mEM kala ko AUzgA,mEM kala ko AUzgA
33,mEM kala AyA,mEM kala ko AyA,mEM kala ko AyA
34,mEM kiwAbeM paDa rahA hUz,mEM kiwAbeM paDa rahA hUz,mEM kiwAbeM paDa rahA hUz
35,mEM ladake ke lie Sahara se AyA,mEM ladake ke lie Sahara se AyA,mEM ladake ke lie Sahara se AyA
36,mEMne acCA Pala KAyA,mEMne acCA Pala KAyA,mEMne acCA Pala KAyA
37,mEMne acCI kiwAba paDI hE,mEMne acCI kiwAba paDI,mEMne acCI kiwAba paDI
38,mEMne acCI kiwAba paDI,mEMne acCI kiwAba paDI,mEMne acCI kiwAba paDI
39,mEMne aMXe ladake ko xeKA,mEMne aMXA ladakA xeKA,mEMne aMXA ladakA xeKA
40,mEMne aMXe ladake ko xeKA,mEMne aMXA ladakA xeKA,mEMne aMXA ladakA xeKA
41,mEMne aMXe ladake ko XIre se XakkA mArA,mEMne aMXA ladakA XIrese #XakkAmAra,mEMne aMXA ladakA XIrese #XakkAmAra
42,mEMne nayA Pala KAyA,mEMne nayA Pala KAyA,mEMne nayA Pala KAyA
43,mEMne naye ladake ko xeKA,mEMne nayA ladakA xeKA,mEMne nayA ladakA xeKA
44,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI
45,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI,mEMne nayI kiwAba paDI
46,mEMne pahalI kiwAba paDI,mEMne pahalI kiwAba paDI,mEMne pahalI kiwAba paDI
47,mEM saBA ke lie Sahara se AyA,mEM saBA ke lie Sahara se AyA,mEM saBA ke lie Sahara se AyA
48,mEM Sahara jA rahA hUz,mEM Sahara jA rahA hUz,mEM Sahara jA rahA hUz
49,mEM Sahara meM eka vixyAlaya gayA,mEMne Sahara meM vixyAlaya jAyA,mEMne Sahara meM vixyAlaya jAyA
50,mEM Sahara meM vixyAlaya meM gayA,mEMne Sahara meM vixyAlaya jAyA,mEMne Sahara meM vixyAlaya jAyA
51,mEM usake lie Sahara gayA,ladakA ne #vaha Sahara jAyA,ladakA ne #vaha Sahara jAyA
52,mEM usake lie Sahara se AyA,mEM #vaha Sahara se AyA,mEM #vaha Sahara se AyA
53,mEM usase eka kiwAba le rahA hUz,mEM usase eka kiwAba le rahA hUz,mEM usase eka kiwAba le rahA hUz
54,mEM usase kiwAba le rahA hUz,mEM usase kiwAba le rahA hUz,mEM usase kiwAba le rahA hUz
55,mEM XIre calawA hUz,mEM XIre calawA hUz,mEM XIre calawA hUz
56,merA xoswa bagIce meM Kela rahA hE,muJe xoswa bagIce meM Kela rahA hE,muJe xoswa bagIce meM Kela rahA hE
58,rAma john ke liye Sahara se AyA,rAma John ke lie Sahara se AyA,rAma John ke lie Sahara se AyA
59,rAma xo kiwAbeM paDa rahA hE,rAma #xo kiwAbeM paDa rahA hE,rAma #xo kiwAbeM paDa rahA hE
61,rAvaNa rAma ke xvArA mArA gayA WA,rAvaNa ko rAma ne mArA,rAvaNa ko rAma ne mArA
63,Sera ne yuxXa ke liye jaMgala meM saBA bulAI,Sera ne yuxXa ke lie jaMgala meM saBA bulAI,Sera ne yuxXa ke lie jaMgala meM saBA bulAI
64,unhone Kewa meM bIja bo xiye,una Kewa meM bIja bo,una Kewa meM bIja bo
65,usane KAnA nahIM KAyA,usane KAnA nahIM KAyA,usane KAnA nahIM KAyA
66,vaha aMXe AxamI kI sahAyawA karegA,usa aMXA AxamI #sahAyawAkara,usa aMXA AxamI #sahAyawAkara
67,vaha kaba jA rahA hE,usa kaba ko jA rahA hE,usa kaba ko jA rahA hE
68,vaha KAnA KA rahA hE,usa KAnA KA rahA hE,usa KAnA KA rahA hE
69,ve calacciwra xeKa rahe hEM,una #calacciwra xeKa rahe hEM,una #calacciwra xeKa rahe hEM
70,wuma kele KA rahe ho,#wuma kele KA rahA hE,#wuma kele KA rahA hE
71,mEM so raha hUz,mEM so rahA hUz,mEM so rahA hUz
72,rAma ne muJe kiwAba xI,rAma ne muJe kiwAba xI,rAma ne muJe kiwAba xI
74,rAma dAktara hE,rAma dAktara hE,rAma dAktara hE
75,rAma acCA dAktara hE,rAma acCA dAktara hE,rAma acCA dAktara hE
76,rAma xillI meM rahawA hE,rAma xillI meM rahawA hE,rAma xillI meM rahawA hE
77,ladakA xillI meM hE,ladakA xillI meM hE,ladakA xillI meM hE
78,rAma bagIce meM hE,rAma bagIce meM hE,rAma bagIce meM hE
79,rAma xillI meM hE,rAma xillI meM hE,rAma xillI meM hE
80,mEM xillI meM hUz,mEM xillI meM hUz,mEM xillI meM hUz
81,rAma ko buKAra hE,rAma buKAra hE,rAma buKAra hE
82,ladake ko buKAra hE,ladake buKAra hE,ladake buKAra hE
83,muJe buKAra hE,mEM buKAra hE,mEM buKAra hE
87,kyA rAma dAktara hE,rAma dAktara hE,rAma dAktara hE
89,kyA wuma xillI meM ho,kyA #wuma xillI meM hE,kyA #wuma xillI meM hE
90,kyA wumhe buKAra hE,#wuma buKAra,#wuma buKAra
91,muJe Gara jAnA cAhie,mEM Gara jAnA,mEM Gara jAnA
